[2025-02-15 19:11:19] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-15 19:11:19] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-15 19:11:19] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-15 19:11:19] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-15 19:11:26] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-15 19:11:26] [INFO] Beralih ke mode AUM...
[2025-02-15 19:11:26] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-15 19:11:27] [INFO] Berhasil memilih periode 1M.
[2025-02-15 19:11:40] [DEBUG] Default | Periode 1M | Kursor -49 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-15 19:11:40] [DEBUG] AUM | Periode 1M | Kursor -149 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:40] [DEBUG] Default | Periode 1M | Kursor -29 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-15 19:11:41] [DEBUG] Default | Periode 1M | Kursor -9 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-15 19:11:41] [DEBUG] AUM | Periode 1M | Kursor -129 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:41] [DEBUG] AUM | Periode 1M | Kursor -109 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:41] [DEBUG] Default | Periode 1M | Kursor 11 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-15 19:11:42] [DEBUG] AUM | Periode 1M | Kursor -89 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:42] [DEBUG] Default | Periode 1M | Kursor 31 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-15 19:11:42] [DEBUG] AUM | Periode 1M | Kursor -69 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:42] [DEBUG] Default | Periode 1M | Kursor 51 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-15 19:11:43] [DEBUG] AUM | Periode 1M | Kursor -49 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:43] [DEBUG] Default | Periode 1M | Kursor 71 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-15 19:11:43] [DEBUG] AUM | Periode 1M | Kursor -29 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:43] [DEBUG] Default | Periode 1M | Kursor 91 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-15 19:11:44] [DEBUG] AUM | Periode 1M | Kursor -9 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:44] [DEBUG] Default | Periode 1M | Kursor 111 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-15 19:11:44] [DEBUG] Default | Periode 1M | Kursor 131 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-15 19:11:44] [DEBUG] AUM | Periode 1M | Kursor 11 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:45] [DEBUG] AUM | Periode 1M | Kursor 31 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:45] [DEBUG] Default | Periode 1M | Kursor 151 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-15 19:11:45] [DEBUG] AUM | Periode 1M | Kursor 51 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:45] [DEBUG] Default | Periode 1M | Kursor 171 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-15 19:11:45] [DEBUG] AUM | Periode 1M | Kursor 71 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:45] [DEBUG] Default | Periode 1M | Kursor 191 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-15 19:11:46] [DEBUG] AUM | Periode 1M | Kursor 91 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:46] [DEBUG] Default | Periode 1M | Kursor 211 | Tanggal: 5 Feb 25 | Data: $1.19
[2025-02-15 19:11:46] [DEBUG] AUM | Periode 1M | Kursor 111 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:46] [DEBUG] Default | Periode 1M | Kursor 231 | Tanggal: 5 Feb 25 | Data: $1.19
[2025-02-15 19:11:47] [DEBUG] Default | Periode 1M | Kursor 251 | Tanggal: 6 Feb 25 | Data: $1.19
[2025-02-15 19:11:47] [DEBUG] AUM | Periode 1M | Kursor 131 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:47] [DEBUG] Default | Periode 1M | Kursor 271 | Tanggal: 7 Feb 25 | Data: $1.18
[2025-02-15 19:11:47] [DEBUG] AUM | Periode 1M | Kursor 151 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:48] [DEBUG] AUM | Periode 1M | Kursor 171 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:48] [DEBUG] Default | Periode 1M | Kursor 291 | Tanggal: 7 Feb 25 | Data: $1.18
[2025-02-15 19:11:48] [DEBUG] Default | Periode 1M | Kursor 311 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-15 19:11:48] [DEBUG] AUM | Periode 1M | Kursor 191 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:49] [DEBUG] Default | Periode 1M | Kursor 331 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-15 19:11:49] [DEBUG] AUM | Periode 1M | Kursor 211 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:49] [DEBUG] Default | Periode 1M | Kursor 351 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-15 19:11:49] [DEBUG] AUM | Periode 1M | Kursor 231 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:50] [DEBUG] Default | Periode 1M | Kursor 371 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-15 19:11:50] [DEBUG] AUM | Periode 1M | Kursor 251 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:50] [DEBUG] Default | Periode 1M | Kursor 391 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-15 19:11:50] [DEBUG] AUM | Periode 1M | Kursor 271 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:51] [DEBUG] Default | Periode 1M | Kursor 411 | Tanggal: 11 Feb 25 | Data: $1.19
[2025-02-15 19:11:51] [DEBUG] AUM | Periode 1M | Kursor 291 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:51] [DEBUG] AUM | Periode 1M | Kursor 311 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:51] [DEBUG] Default | Periode 1M | Kursor 431 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-15 19:11:51] [DEBUG] Default | Periode 1M | Kursor 451 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-15 19:11:51] [DEBUG] AUM | Periode 1M | Kursor 331 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:52] [DEBUG] AUM | Periode 1M | Kursor 351 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:52] [DEBUG] Default | Periode 1M | Kursor 471 | Tanggal: 13 Feb 25 | Data: $1.20
[2025-02-15 19:11:52] [DEBUG] AUM | Periode 1M | Kursor 371 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:52] [DEBUG] Default | Periode 1M | Kursor 491 | Tanggal: 13 Feb 25 | Data: $1.20
[2025-02-15 19:11:52] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-02-15 19:11:53] [DEBUG] AUM | Periode 1M | Kursor 391 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:53] [DEBUG] AUM | Periode 1M | Kursor 411 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:54] [DEBUG] AUM | Periode 1M | Kursor 431 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:54] [DEBUG] AUM | Periode 1M | Kursor 451 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:55] [DEBUG] AUM | Periode 1M | Kursor 471 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:55] [INFO] Scraping 1M (Default) selesai dalam 35.35 detik.
[2025-02-15 19:11:55] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-02-15 19:11:55] [DEBUG] AUM | Periode 1M | Kursor 491 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-15 19:11:55] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-02-15 19:11:57] [INFO] Scraping 1M (AUM) selesai dalam 38.06 detik.
[2025-02-15 19:11:57] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-02-15 19:11:57] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database/mutual_fund\Batavia Technology Sharia Equity USD.csv dan database/mutual_fund\Batavia Technology Sharia Equity USD.json
[2025-02-15 19:11:57] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 38.13 detik.
[2025-02-15 19:11:57] [INFO] ===== Semua scraping selesai dalam 38.13 detik =====
